date,spy_equity_$,spy_drawdown_%,strategy_equity_$,strategy_drawdown_%
2024-07-22,14031.919467840253,-1.7340630922649258,15687.0,-2.243409983174427
2024-07-23,14014.214533222044,-1.8580512602511812,15903.0,-0.897363993269773
2024-07-24,13693.75521663252,-4.102237100802397,15903.0,-0.897363993269773
2024-07-25,13611.553734476563,-4.677896452167152,16098.0,0.0
2024-07-26,13763.310316918329,-3.615140726570687,16098.0,0.0
2024-07-29,13779.750613349524,-3.5000088562977094,15567.0,-3.2985464032799117
2024-07-30,13680.223588031464,-4.196999486334752,16017.0,-0.5031680954155848
2024-07-31,13945.671143485848,-2.338062596312251,16017.0,-0.5031680954155848
2024-08-01,13733.970710979587,-3.820606833519325,16930.0,0.0
2024-08-02,13474.97281027898,-5.634376605203972,17250.0,0.0
2024-08-05,13111.00994005615,-8.18321908709284,17250.0,0.0
2024-08-06,13198.269974960163,-7.572134544874864,17250.0,0.0
2024-08-07,13113.53921643018,-8.16550649166623,16600.0,-3.7681159420289823
2024-08-08,13449.932974176088,-5.80973129992739,16600.0,-3.7681159420289823
2024-08-09,13479.272580114832,-5.604265192978719,16600.0,-3.7681159420289823
2024-08-12,13492.17188962238,-5.513930956303026,15930.0,-7.65217391304348
2024-08-13,13702.139767812429,-4.0435198469631946,16155.0,-6.347826086956521
2024-08-14,13757.492981258065,-3.655879696051856,16155.0,-6.347826086956521
2024-08-15,13987.404203657334,-2.045804771773218,16344.0,-5.252173913043478
2024-08-16,14019.273085970104,-1.822626069397959,16344.0,-5.252173913043478
2024-08-19,14144.725194121962,-0.9440813362382116,16470.0,-4.521739130434788
2024-08-20,14132.837595164025,-1.027330534743276,16776.0,-2.7478260869565174
2024-08-21,14184.940688469029,-0.6624510689551499,17126.0,-0.7188405797101449
2024-08-22,14067.329337076664,-1.486086756292404,17468.0,0.0
2024-08-23,14213.774439132963,-0.4605274810918214,17820.0,0.0
2024-08-26,14179.376280446164,-0.7014187788936921,18170.0,0.0
2024-08-27,14203.91026127425,-0.5296066032555835,18170.0,0.0
2024-08-28,14107.038976148924,-1.2079990080946623,18434.0,0.0
2024-08-29,14130.055391152591,-1.046814389712536,18434.0,0.0
2024-08-30,14246.14917672054,-0.2338062596312307,18434.0,0.0
2024-09-03,13967.928775577308,-2.182191756558094,18863.0,0.0
2024-09-04,13931.507195791286,-2.4372531307012446,18863.0,0.0
2024-09-05,13902.673445127351,-2.639176718564562,18863.0,0.0
2024-09-06,13654.04557756026,-4.380324849000128,18863.0,0.0
2024-09-09,13824.26587753244,-3.1882671767894166,19223.0,0.0
2024-09-10,13874.851405013029,-2.8340152682572506,18335.0,-4.619466264370809
2024-09-11,14017.755520145683,-1.83325362665393,18335.0,-4.619466264370809
2024-09-12,14132.078812251815,-1.0326443133712448,18632.0,-3.0744420745981382
2024-09-13,14211.75101803374,-0.4746975574331014,18973.0,-1.300525412266551
2024-09-16,14230.973518476363,-0.340081832190886,18973.0,-1.300525412266551
2024-09-17,14240.96416015378,-0.2701170802557828,18500.0,-3.761119492274878
2024-09-18,14196.575359789564,-0.5809731299927567,18500.0,-3.761119492274878
